3 20:31:17
cd RIGHT
cd RIGHT
cd DOWN
cd RIGHT
cd LEFT
cd UP
cd RIGHT
cd LEFT
cd UP
cd DOWN
cd LEFT
cd UP
cd RIGHT
cd UP
cd DOWN
cd RIGHT
cd LEFT
cd LEFT
